condition_id,split,work_mj_m3,loading_angle_deg,effective_plastic_strain,stress_radius_mpa,sigma11_mpa,sigma22_mpa,sigma12_mpa
TS049,train,2.0,80.0,0.0071707075,307.29156,159.99202,261.8839,-15.730573
TS049,train,2.0,100.0,0.007859501,283.47836,104.17891,263.37436,-11.860836
TS049,train,2.0,120.0,0.009483113,242.69739,43.7805,238.64114,-5.97059
TS049,train,2.0,140.0,0.013076405,172.47119,-166.75696,43.99353,-1.71791
TS049,train,2.0,160.0,0.009505939,235.31006,-229.92769,-49.341824,8.334232
TS049,train,5.0,0.0,0.018575622,305.59213,271.22037,138.86955,-23.265871
TS049,train,5.0,20.0,0.016308848,348.85718,259.44333,231.87361,-25.002125
TS049,train,5.0,40.0,0.015764875,358.649,239.94096,265.50864,-23.718826
TS049,train,5.0,60.0,0.015715558,360.37653,219.99289,284.59528,-21.906176
TS049,train,5.0,80.0,0.016274368,349.29767,183.80235,296.4086,-19.170074
TS049,train,5.0,100.0,0.017679181,325.27536,120.26262,301.90488,-13.943129
TS049,train,5.0,120.0,0.020895971,280.61087,53.45957,275.41214,-5.7171497
TS049,train,5.0,140.0,0.029190373,197.98558,-192.25932,47.24349,-1.6411872
TS049,train,5.0,160.0,0.021319296,270.5837,-264.38254,-56.636665,10.474541
TS049,train,10.0,0.0,0.033921275,344.0446,304.3647,158.3042,-25.857473
TS049,train,10.0,20.0,0.029743126,393.0026,290.63736,263.12466,-27.31976
TS049,train,10.0,40.0,0.028858325,402.63007,269.87112,297.65427,-26.12401
TS049,train,10.0,60.0,0.028729793,405.46274,249.34354,318.7923,-24.480284
TS049,train,10.0,80.0,0.029698024,393.2051,208.46822,332.69022,-21.644608
TS049,train,10.0,100.0,0.032027926,369.26733,137.39148,342.39767,-15.676934
TS049,train,10.0,120.0,0.037502643,319.4441,62.053406,313.31464,-5.276
TS049,train,10.0,140.0,0.05285878,222.95712,-216.5742,52.937756,-1.7576177
TS049,train,10.0,160.0,0.03857866,306.65973,-299.85178,-63.11653,12.0587845
TS071,train,0.25,0.0,0.0011102922,254.46251,232.39676,103.07753,-10.683394
TS071,train,0.25,20.0,0.0010269468,272.24765,229.51749,145.94357,-11.868318
TS071,train,0.25,40.0,0.0010093538,276.656,212.72272,176.3229,-14.01554
TS071,train,0.25,60.0,0.0010440672,271.09442,182.97728,199.41592,-15.629139
TS071,train,0.25,80.0,0.0011161098,247.42197,130.44846,209.75908,-12.816452
TS071,train,0.25,100.0,0.0013107462,214.0599,64.14275,204.12128,-4.5168333
TS071,train,0.25,120.0,0.001682218,170.21284,-5.8129354,169.77592,8.461049
TS071,train,0.25,140.0,0.0019140247,146.03441,-136.43327,49.956726,14.513709
TS071,train,0.25,160.0,0.0013220749,220.76953,-214.28857,-51.68942,10.524782
TS071,train,0.5,0.0,0.0020713373,265.27206,240.52853,111.265305,-11.603225
TS071,train,0.5,20.0,0.00193047,281.2741,236.13863,152.2494,-13.180704
TS071,train,0.5,40.0,0.0018933077,286.12125,220.24016,181.96758,-15.715036
TS071,train,0.5,60.0,0.001948849,281.7695,193.10818,204.38406,-18.176056
TS071,train,0.5,80.0,0.0020994032,261.12473,144.39395,216.84341,-17.541786
TS071,train,0.5,100.0,0.0024425955,226.6168,74.36613,213.88947,-8.441992
